similarity_metric,collection,model,top_k,accuracy
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,2,0.34541984732824427
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,5,0.4262086513994911
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,10,0.48854961832061067
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,15,0.5241730279898219
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,20,0.5508905852417303
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,1,0.5337150127226463
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,2,0.6030534351145038
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,5,0.6889312977099237
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,10,0.7442748091603053
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,15,0.7760814249363868
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,20,0.8059796437659033
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,1,0.29961832061068705
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,2,0.3568702290076336
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,5,0.4312977099236641
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,10,0.4904580152671756
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,15,0.5241730279898219
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,20,0.549618320610687
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,1,0.5279898218829516
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,2,0.5865139949109415
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,5,0.6692111959287532
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,10,0.7379134860050891
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,15,0.7760814249363868
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,20,0.7983460559796438
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,1,0.31615776081424934
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,2,0.3702290076335878
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,5,0.43829516539440205
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,10,0.4866412213740458
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,15,0.5260814249363868
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,20,0.544529262086514
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,1,0.30279898218829515
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,2,0.3473282442748092
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,5,0.4217557251908397
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,10,0.477735368956743
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,15,0.5197201017811705
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,20,0.5432569974554707
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,1,0.3104325699745547
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,2,0.3619592875318066
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,5,0.44147582697201015
